PersonId,Theta
1,0.0217528757
2,0.2603683966
3,0.7820837366
4,-0.933586431
5,0.9918777557
6,1.9228734745
7,0.5353076879
8,0.0685720333
9,-1.164985014
10,0.9361555033
11,-0.623789419
12,-0.842953824
13,-1.957358671
14,0.0528716568
15,0.2664491018
16,-1.059393906
17,-0.340121607
18,-1.20971354
19,-0.429450171
20,0.9243643175
21,-1.829956756
22,-0.361893565
23,0.323819664
24,0.341625969
25,-0.673967675
26,0.6361801824
27,-1.993590381
28,0.6558972522
29,1.2261643035
30,-0.064307391
31,0.2828715101
32,0.9486062348
33,-0.086411903
34,0.1314766748
35,0.5692551968
36,-1.480495968
37,-0.818480188
38,0.2642791415
39,0.7965390872
40,0.202542248
41,-1.091537543
42,-0.624439352
43,0.9638991759
44,-1.130819078
45,2.3159932543
46,-0.549926557
47,0.3428597246
48,-0.15938882
49,-0.633770655
50,-0.012281419
51,1.4508786133
52,0.6791241918
53,0.1736890119
54,0.4954118979
55,-0.435052016
56,0.3404645516
57,0.2068416749
58,0.5549049817
59,0.5872039754
60,0.4314424025
61,1.1159516138
62,-1.233922849
63,0.2478786231
64,0.6535653004
65,-0.514996098
66,1.060562659
67,0.2843563144
68,-0.491927025
69,0.2694020618
70,0.1817232961
71,-0.607869348
72,-0.535748689
73,-1.02834437
74,-0.319359552
75,0.6681489721
76,-0.678238506
77,0.2738388592
78,1.5274721186
79,1.1510935136
80,-3.092084515
81,0.7916768013
82,1.0768955346
83,1.6479699535
84,-2.820491776
85,0.0977323839
86,-1.756229566
87,0.9232082519
88,0.8161454993
89,0.3554683331
90,0.0220083909
91,-1.034043696
92,0.2947671008
93,0.5101153127
94,-2.438554756
95,-1.440695028
96,0.2116910087
97,0.8277102839
98,0.0962574329
99,-0.444614375
100,-1.827860545
101,-0.039381872
102,-0.309478819
103,0.5581138892
104,-1.94808145
105,1.3229186825
106,0.5112637335
107,0.3763347071
108,-1.123478993
109,1.8584604663
110,0.9767435896
111,0.1124598775
112,2.8946811213
113,1.5396147142
114,1.5888983695
115,1.1889144915
116,0.2949591859
117,0.6810907894
118,-0.893541768
119,1.0384197568
120,0.6138348813
121,-1.016363819
122,0.0165785856
123,0.0275720101
124,-1.74407848
125,-0.710215998
126,0.0793839796
127,-0.111336527
128,0.7757266465
129,0.2952684272
130,-0.771328576
131,0.5661430285
132,2.0222418521
133,-0.973764191
134,0.8871964582
135,2.1536754615
136,-0.040017233
137,-0.929262101
138,-0.318096713
139,-0.321497838
140,1.4921563533
141,-0.497745972
142,-1.116247022
143,-0.659837648
144,-0.13635089
145,-0.837818184
146,0.7713198908
147,-0.66465442
148,0.7223300479
149,-0.070547086
150,0.7610918991
151,0.7204261812
152,0.9264687529
153,0.0244307234
154,-1.411620035
155,2.269396884
156,0.7431713865
157,-0.816503031
158,-0.80874781
159,-0.923817858
160,0.135619278
161,-0.580219628
162,-0.258909935
163,-0.631290318
164,0.0677788924
