ItemId,Alpha,Beta,Gamma
1,0.5948468095,2.4895880704,0.3945635678
2,0.6647961295,0.5189469594,0.2847734238
3,1.0434564723,-0.98399717,0.1641392554
4,1.1117799347,-0.464605745,0.2117658275
5,0.6190089099,2.0545461658,0.2356285733
6,1.9420332545,-0.657436205,0.1864069204
7,1.5378725208,0.9486270649,0.3862226568
8,0.6607170125,0.7981341378,0.1088301831
9,1.2236977825,1.7494415542,0.1537012526
10,1.8056065259,1.6514933531,0.3081486627
11,1.9074470232,1.4881584824,0.3711918224
12,1.4012412312,2.1022394537,0.3596651392
13,0.8530631193,-0.925450871,0.3349177835
14,1.7887648802,2.0284372061,0.0672612299
15,1.2639915029,0.6478375279,0.0314263242
16,1.0432733139,-0.169695433,0.1341830211
17,0.8164964031,1.2528724141,0.2129610454
18,1.3526817393,1.8887445959,0.0001706118
19,0.6976300802,0.2417254901,0.0282108523
20,0.5588080015,1.8209396465,0.05106625
21,1.7859202398,-0.964430774,0.2340862495
22,1.1998667013,-0.462001526,0.0248789342
23,0.7791004392,1.8835397488,0.1430932172
24,0.7263546154,2.4294896607,0.1577574207
25,0.9040055625,2.8368998039,0.2367119129
26,0.71184356,-0.92862224,0.2426057113
27,0.8131479043,0.9854907123,0.3536626834
28,0.8400548374,0.1513358677,0.0202779226
29,1.3126090452,-0.59260017,0.0238548502
30,0.9283826386,-0.074253311,0.2897740185
31,0.643945405,1.3593706444,0.3207842808
32,0.5332290245,-0.6722473,0.2350167536
33,1.4240810762,-0.428245533,0.3058572501
34,1.4125977757,-0.646051422,0.040727368
35,0.7418846068,-0.127841852,0.292192986
36,1.3045539008,1.9052663925,0.1248213418
37,1.9847536731,1.7711757546,0.2926876844
38,0.759191808,1.342018665,0.1952006434
39,1.4774328572,1.4261091195,0.2762827398
40,0.8048572009,0.5144281171,0.0175421055
41,0.8161018511,-0.025691067,0.0870848582
42,0.9545453181,0.4345715183,0.0204331886
43,0.9015575982,1.8530599265,0.3220233893
44,0.9335652486,2.4603557938,0.39963466
45,1.2757993148,-0.548931829,0.0026956504
46,0.9452238106,-0.930545716,0.2116347819
47,0.9697844315,1.9123802515,0.3191277984
48,0.5738906543,0.1135749096,0.1054834616
49,1.9591538964,2.6093361674,0.2310376394
50,1.1018128998,-0.414089773,0.1048712167
